,timeTotal
1  ,44.0
4  ,60.0
7  ,80.0
7a ,80.0
7b ,80.0
7d ,80.0
7n ,0.0
9  ,59.0
11 ,80.0
13 ,87.0
14 ,68.0
15 ,98.0
15a,61.0
15b,61.0
15d,61.0
16 ,100.0
25 ,51.0
25a,51.0
25b,56.0
25d,56.0
25n,0.0
25x,70.0
26 ,40.0
27 ,96.0
27a,38.0
27b,60.0
27x,80.0
29a,52.0
29n,0.0
31/,54.0
31b,47.0
31d,40.0
31n,0.0
32 ,50.0
32x,70.0
33 ,110.0
33d,65.0
33n,0.0
33x,80.0
37 ,52.0
38 ,60.0
38a,60.0
38b,50.0
39 ,71.0
39a,71.0
39x,75.0
40 ,87.0
40b,40.0
40d,45.0
40e,30.0
41 ,68.0
41b,72.0
41c,68.0
41x,55.0
42 ,57.0
41d,48.0
42d,55.0
42n,0.0
43 ,60.0
44 ,90.0
44b,30.0
46a,61.0
46e,22.0
46n,0.0
47 ,59.0
49 ,65.0
49n,0.0
51d,50.0
51x,30.0
53 ,23.0
53a,15.0
54a,70.0
56a,74.0
61 ,53.0
65 ,100.0
65b,64.0
66 ,49.0
66a,52.0
66b,53.0
66e,49.0
66n,0.0
66x,60.0
67 ,63.0
67n,0.0
67x,60.0
68/,60.0
68x,35.0
69 ,62.0
69n,0.0
69x,50.0
70 ,51.0
70d,65.0
70n,0.0
77a,86.0
77n,0.0
77x,50.0
79/,55.0
83 ,73.0
84/,70.0
84n,0.0
84x,85.0
88n,0.0
90 ,25.0
116,80.0
118,32.5
120,40.0
122,55.0
123,62.0
130,33.0
140,63.0
142,72.0
145,68.0
150,40.0
151,70.0
155,76.0
747,60.0
757,50.0
